NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
6030810,7198,LB2*,18891,Cadw
6030811,7199,LB2,18881,Cadw
6030808,7202,LB2,18890,Cadw
6028557,7205,LB2,17525,Cadw
6027121,7225,LB2,9810,Cadw
6032391,7229,LB2*,18943,Cadw
6030348,7240,LB2,18942,Cadw
6032609,7246,LB2,9923,Cadw
6030390,7247,LB2*,9917,Cadw
6027036,7248,LB2,17753,Cadw
6027445,7249,LB2,17748,Cadw
6025634,7250,LB2,17594,Cadw
6028528,7256,LB2,17480,Cadw
6028555,7257,LB2,17501,Cadw
6028123,7268,LB2,10433,Cadw
6024805,7274,LB2,17973,Cadw
6025758,7276,LB2,16631,Cadw
6025804,7280,LB2,16615,Cadw
6026975,7282,LB2,10640,Cadw
6026968,7284,LB2,10581,Cadw
6026974,7285,LB2,10579,Cadw
6026969,7286,LB2,10563,Cadw
6026904,7289,LB2,10657,Cadw
6026972,7290,LB2,10625,Cadw
6027185,7294,LB2,17473,Cadw
6030439,7296,LB2,18759,Cadw
6032840,7312,LB2,21080,Cadw
6028336,7313,LB2,17444,Cadw
6028411,7315,LB2,9809,Cadw
6025835,7323,LB2,16711,Cadw
6025834,7325,LB2,16692,Cadw
6025802,7326,LB2,16710,Cadw
6030437,7330,LB2,18263,Cadw
6027071,7345,LB2,17730,Cadw
6027070,7351,LB2,9797,Cadw
6027068,7354,LB2,9769,Cadw
6028492,7358,LB2,17132,Cadw
6028488,7363,LB2,17909,Cadw
6024913,7375,LB2,14784,Cadw
6033016,7385,PRN,22398,Dyfed Historic Environment Record
6030934,7387,LB2,24018,Cadw
6024999,7389,LB2,15862,Cadw
6025833,7397,LB2,16090,Cadw
6028372,7401,LB2,18265,Cadw
6030932,7403,LB2,24021,Cadw
6033269,7404,LB2,24019,Cadw
6030930,7407,LB2,24020,Cadw
6025616,7412,LB2,9902,Cadw
6011599,7431,LB2,18684,Cadw
6011596,7433,LB2,18662,Cadw
6011593,7438,LB2,18683,Cadw
6010589,7446,LB2,14658,Cadw
6010778,7466,LB2,14674,Cadw
6017488,7469,LB2,16449,Cadw
6017508,7494,LB2,9813,Cadw
6013226,7529,LB2,19941,Cadw
6017088,7534,LB2,16871,Cadw
6017073,7540,LB2,16871,Cadw
6012796,7565,LB2,976,Cadw
6012833,7567,LB2,18953,Cadw
6012792,7570,LB2,974,Cadw
6019590,7638,LB2,16959,Cadw
6019589,7640,LB2,16957,Cadw
6014439,7654,LB2,19917,Cadw
6010586,7674,LB2,18234,Cadw
6011754,7686,LB2,19866,Cadw
6014819,7693,LB2,24991,Cadw
6011764,7706,LB2,20155,Cadw
6017156,7720,LB2,1222,Cadw
6017155,7721,LB2,1144,Cadw
6017150,7726,LB2,1123,Cadw
6017149,7727,LB2,1184,Cadw
6017148,7728,LB2,80694,Cadw
6017064,7736,LB2,19965,Cadw
6017063,7737,LB2,19968,Cadw
6017059,7743,LB2,19960,Cadw
6011300,7746,LB2,19590,Cadw
6008954,7756,LB2,3609,Cadw
6010584,7764,LB2,18764,Cadw
6012938,7774,LB2,22692,Cadw
6010833,7786,LB2,17043,Cadw
6010775,7791,LB2,17025,Cadw
6010409,7828,LB2,20588,Cadw
6016873,7861,LB2,17091,Cadw
6016868,7866,LB2,16845,Cadw
6014603,7877,LB2,939,Cadw
6014598,7887,LB2,18954,Cadw
6017115,7905,LB2,1296,Cadw
6018447,7914,LB2,1767,Cadw
6019166,7924,LB2,1848,Cadw
6019440,7945,LB2,14652,Cadw
6015270,7948,LB2,24444,Cadw
6013219,8071,LB2,1436,Cadw
6018194,8098,LB2,16,Cadw
6018462,8099,LB2,14456,Cadw
6013457,8122,LB2,14324,Cadw
6013467,8125,LB2,1521,Cadw
6013464,8128,LB2,14314,Cadw
6013463,8129,LB2,14264,Cadw
6013469,8136,LB2,14252,Cadw
6015056,8152,LB2,415,Cadw
6017325,8182,LB2,19649,Cadw
6017850,8190,LB2,393,Cadw
6017852,8194,LB2*,391,Cadw
6017859,8198,LB2,361,Cadw
6014834,8205,LB2,16133,Cadw
6017843,8206,LB2,19104,Cadw
6017637,8210,LB2,16129,Cadw
6044676,8229,LB2,15909,Cadw
6044420,8237,LB2,17174,Cadw
6044759,8238,LB1,8756,Cadw
6044419,8239,LB2,17199,Cadw
6048101,8241,LB2,15320,Cadw
6048713,8245,LB2,9160,Cadw
6050476,8252,LB2,8921,Cadw
6043271,8257,LB2,23027,Cadw
6045423,8264,LB2*,9304,Cadw
6042731,8266,LB2,9052,Cadw
6042726,8271,LB2,9057,Cadw
6042725,8272,LB2,9056,Cadw
6048478,8279,LB2,8775,Cadw
6042238,8281,LB2,23028,Cadw
6045148,8285,LB2,9286,Cadw
6045647,8286,PRN,82770,Clwyd-Powys Historic Environment Record
6044760,8293,LB2,17224,Cadw
6048480,8296,LB2,9200,Cadw
6042408,8297,LB2*,19016,Cadw
6036954,8304,LB2,8729,Cadw
6049039,8314,LB2,9018,Cadw
6011238,8320,LB2,18375,Cadw
6005758,8328,LB2,15463,Cadw
6007846,8335,LB2,16010,Cadw
6012419,8352,LB2,15526,Cadw
6007861,8360,LB2,4996,Cadw
6007858,8366,LB2,4948,Cadw
6007857,8367,LB2,5037,Cadw
6008594,8393,LB2,16900,Cadw
6008597,8406,LB2,16834,Cadw
6005984,8429,LB2,4781,Cadw
6011108,8451,LB2,4657,Cadw
6003827,8467,LB2,4744,Cadw
6003743,8468,LB2,18963,Cadw
6008133,8475,LB2,16018,Cadw
6010270,8528,LB2,17919,Cadw
6010162,8532,LB2,4679,Cadw
6006310,8552,LB2,4840,Cadw
6006464,8583,LB2,4843,Cadw
6031088,8621,LB2,5255,Cadw
6001811,8625,LB2,20961,Cadw
6001812,8628,LB2,20964,Cadw
6003498,8637,LB2,18903,Cadw
6003509,8638,LB2,5429,Cadw
6007272,8641,LB2,5668,Cadw
