ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
2b55bad9-4914-4805-b6c5-484bf9bfdcd6,UKHO ID,12445,UK Hydrographic Office,2b55bad9-4914-4805-b6c5-484bf9bfdcd6
2b5aba31-3d4b-4c5f-87fe-a82d5e1695fc,UKHO ID,7880,UK Hydrographic Office,2b5aba31-3d4b-4c5f-87fe-a82d5e1695fc
2bd9ed2d-6705-4704-9bda-746bfbdbc0e0,UKHO ID,7550,UK Hydrographic Office,2bd9ed2d-6705-4704-9bda-746bfbdbc0e0
2be7927b-75b0-4419-84f9-4828d67da536,UKHO ID,58321,UK Hydrographic Office,2be7927b-75b0-4419-84f9-4828d67da536
2beafe1b-d114-400d-b93a-eb6bd5d2dae4,UKHO ID,12128,UK Hydrographic Office,2beafe1b-d114-400d-b93a-eb6bd5d2dae4
2bf3b5a5-0c8b-400e-baea-9bd34307d350,UKHO ID,9883,UK Hydrographic Office,2bf3b5a5-0c8b-400e-baea-9bd34307d350
2c30fa44-67d1-4768-b86a-a714fac5cb3b,UKHO ID,7157,UK Hydrographic Office,2c30fa44-67d1-4768-b86a-a714fac5cb3b
2c363994-1161-47fc-a428-4915c2501b76,UKHO ID,10074,UK Hydrographic Office,2c363994-1161-47fc-a428-4915c2501b76
2c4f14e6-63fe-4b38-b46e-57956166ff56,UKHO ID,7335,UK Hydrographic Office,2c4f14e6-63fe-4b38-b46e-57956166ff56
2d088401-ef53-4ef9-8dc5-933fc60509c9,UKHO ID,7361,UK Hydrographic Office,2d088401-ef53-4ef9-8dc5-933fc60509c9
2dc816c8-dcdd-48ce-9c7d-f62b84143dfb,UKHO ID,12440,UK Hydrographic Office,2dc816c8-dcdd-48ce-9c7d-f62b84143dfb
2f2d27dc-acde-4bcd-b0d3-8187aba27c41,UKHO ID,12442,UK Hydrographic Office,2f2d27dc-acde-4bcd-b0d3-8187aba27c41
2f4a4d4d-17c8-43b9-b1b9-9f1009983c65,UKHO ID,12001,UK Hydrographic Office,2f4a4d4d-17c8-43b9-b1b9-9f1009983c65
2f4ce4b4-fd1d-4a39-b1ce-cbee16922c3e,UKHO ID,7444,UK Hydrographic Office,2f4ce4b4-fd1d-4a39-b1ce-cbee16922c3e
2f4fbbe4-aaf5-46ad-84ec-9be4d07837a3,UKHO ID,11924,UK Hydrographic Office,2f4fbbe4-aaf5-46ad-84ec-9be4d07837a3
2f59e270-c473-43a2-b042-d255dbf3db0d,UKHO ID,12062,UK Hydrographic Office,2f59e270-c473-43a2-b042-d255dbf3db0d
2f9e3ceb-fdec-4055-b8c3-562b42266518,UKHO ID,8241,UK Hydrographic Office,2f9e3ceb-fdec-4055-b8c3-562b42266518
2fada031-0c34-489e-9d41-17e4a1fd602e,UKHO ID,7021,UK Hydrographic Office,2fada031-0c34-489e-9d41-17e4a1fd602e
2fcc7ce2-b05b-478f-ac68-96d1c6360567,UKHO ID,8209,UK Hydrographic Office,2fcc7ce2-b05b-478f-ac68-96d1c6360567
2fef499c-ab6c-4232-a24e-68fe73a20526,UKHO ID,12498,UK Hydrographic Office,2fef499c-ab6c-4232-a24e-68fe73a20526
3039997b-c43d-4f05-8718-24a12b264334,UKHO ID,7493,UK Hydrographic Office,3039997b-c43d-4f05-8718-24a12b264334
30522922-b135-4de5-8923-b8ba5f236de0,UKHO ID,12462,UK Hydrographic Office,30522922-b135-4de5-8923-b8ba5f236de0
306537d9-d3b4-45e6-9a23-d77be776526a,UKHO ID,12029,UK Hydrographic Office,306537d9-d3b4-45e6-9a23-d77be776526a
